iter	Passed	Remaining
0	138	69334
1	145	36143
2	150	24890
3	151	18764
4	156	15498
5	162	13402
6	167	11820
7	173	10641
8	179	9782
9	184	9044
10	189	8434
11	196	7977
12	201	7542
13	206	7163
14	211	6852
15	216	6555
16	221	6294
17	227	6093
18	232	5887
19	237	5699
20	243	5549
21	248	5390
22	253	5252
23	259	5148
24	264	5030
25	269	4916
26	275	4830
27	280	4734
28	285	4644
29	291	4567
30	296	4484
31	301	4405
32	307	4345
33	311	4273
34	316	4206
35	322	4151
36	327	4096
37	332	4037
38	337	3984
39	342	3939
40	347	3888
41	352	3840
42	357	3801
43	362	3756
44	367	3715
45	372	3679
46	377	3639
47	382	3601
48	387	3567
49	392	3533
50	397	3500
51	402	3466
52	407	3439
53	412	3406
54	417	3377
55	423	3354
56	427	3324
57	432	3296
58	437	3273
59	442	3246
60	447	3220
61	452	3196
62	457	3173
63	462	3150
64	467	3125
65	472	3107
66	477	3084
67	482	3062
68	487	3046
69	492	3025
70	497	3003
71	502	2984
72	507	2967
73	511	2946
74	516	2927
75	521	2911
76	526	2892
77	531	2873
78	536	2860
79	542	2846
80	547	2834
81	554	2829
82	560	2817
83	566	2805
84	573	2798
85	578	2787
86	585	2778
87	591	2770
88	601	2777
89	608	2770
90	614	2761
91	621	2758
92	627	2745
93	634	2740
94	640	2729
95	646	2718
96	653	2716
97	659	2706
98	665	2695
99	671	2684
100	676	2673
101	682	2663
102	687	2651
103	693	2641
104	700	2634
105	705	2624
106	711	2612
107	717	2605
108	723	2595
109	729	2586
110	736	2579
111	742	2571
112	748	2564
113	754	2553
114	759	2541
115	764	2532
116	770	2521
117	775	2510
118	782	2504
119	787	2494
120	792	2483
121	799	2477
122	805	2467
123	810	2458
124	817	2452
125	822	2442
126	828	2432
127	835	2427
128	840	2417
129	847	2410
130	852	2401
131	857	2390
132	864	2385
133	869	2375
134	875	2366
135	881	2359
136	886	2349
137	892	2340
138	899	2335
139	903	2324
140	909	2315
141	915	2308
142	920	2298
143	925	2288
144	931	2279
145	936	2269
146	940	2259
147	946	2251
148	952	2242
149	957	2233
150	962	2224
151	967	2214
152	972	2204
153	977	2196
154	983	2188
155	988	2178
156	993	2169
157	998	2160
158	1002	2150
159	1007	2141
160	1013	2133
161	1018	2124
162	1022	2114
163	1028	2107
164	1033	2098
165	1038	2088
166	1043	2081
167	1048	2071
168	1053	2062
169	1058	2054
170	1063	2046
171	1068	2037
172	1073	2028
173	1078	2021
174	1083	2012
175	1088	2003
176	1093	1996
177	1098	1987
178	1103	1978
179	1109	1972
180	1114	1963
181	1118	1954
182	1123	1947
183	1129	1939
184	1134	1931
185	1138	1922
186	1144	1915
187	1149	1908
188	1154	1900
189	1160	1893
190	1165	1885
191	1170	1877
192	1175	1870
193	1180	1862
194	1185	1854
195	1191	1847
196	1195	1839
197	1200	1830
198	1205	1823
199	1210	1816
200	1215	1808
201	1220	1800
202	1226	1794
203	1231	1786
204	1236	1778
205	1241	1772
206	1247	1765
207	1252	1758
208	1258	1752
209	1263	1745
210	1268	1737
211	1274	1731
212	1279	1723
213	1284	1716
214	1289	1709
215	1294	1702
216	1299	1694
217	1304	1688
218	1309	1680
219	1314	1673
220	1319	1666
221	1325	1659
222	1330	1652
223	1335	1645
224	1340	1638
